"pid","sawa2","line","offwrist","activity","marker","whitelight","redlight","greenlight","bluelight","wake","interval","starth","day","dayofweek","validday","time"
258857,1,99,0,155,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:23:00
258857,1,100,0,332,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:23:30
258857,1,101,0,430,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:24:00
258857,1,102,0,459,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:24:30
258857,1,103,0,521,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:25:00
258857,1,104,0,459,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:25:30
258857,1,105,0,116,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:26:00
258857,1,106,0,474,0,"0.59",17,"0.0622","0.0093",1,"ACTIVE",0,1,5,1,14:26:30
258857,1,107,0,196,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:27:00
258857,1,108,0,160,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:27:30
258857,1,109,0,283,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:28:00
258857,1,110,0,203,0,"0.14","0.0386","0.0024","0.0285",1,"ACTIVE",0,1,5,1,14:28:30
258857,1,111,0,196,0,"0.38","0.0298","0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:29:00
258857,1,112,0,217,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:29:30
258857,1,113,0,77,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:30:00
258857,1,114,0,55,0,"0.16",47,"0.0024","0.0285",1,"ACTIVE",0,1,5,1,14:30:30
258857,1,115,0,58,0,"14.05",592,"1.38",618,1,"ACTIVE",0,1,5,1,14:31:00
258857,1,116,0,292,0,"13.01","1.79",996,309,1,"ACTIVE",0,1,5,1,14:31:30
258857,1,117,0,391,0,"3.37",223,316,"0.0981",1,"ACTIVE",0,1,5,1,14:32:00
258857,1,118,0,367,0,"6.69","0.41",632,233,1,"ACTIVE",0,1,5,1,14:32:30
258857,1,119,0,404,0,"3.4",228,316,117,1,"ACTIVE",0,1,5,1,14:33:00
258857,1,120,0,203,0,"0.52","0.09","0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:33:30
